"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"1",5.21,5.11,5.32,5.05,5.18,7.42,7.55,7.31,7.68,7.39
"2",4.85,5.02,4.91,4.78,4.95,6.78,6.85,6.92,6.71,6.88
"3",6.12,6.05,6.18,6.21,6.08,5.05,5.12,4.98,5.21,5.15
"4",3.45,3.52,3.38,3.41,3.49,4.85,4.92,4.78,4.88,4.95
"5",7.85,7.78,7.92,7.81,7.89,7.95,8.02,7.88,7.98,8.05
"6",2.18,2.25,2.11,2.21,2.15,2.92,2.85,2.98,2.88,2.95
"7",5.45,5.38,5.52,5.41,5.49,6.12,6.05,6.18,6.08,6.15
"8",4.21,4.35,4.18,4.28,4.25,4.15,4.22,4.12,4.18,4.25
"9",6.78,6.85,6.71,6.88,6.81,8.55,8.62,8.48,8.65,8.58
"10",3.88,3.95,3.81,3.92,3.85,3.45,3.52,3.38,3.48,3.42
"11",5.92,5.85,5.98,5.88,5.95,5.05,5.12,4.98,5.08,5.15
"12",4.12,4.18,4.05,4.15,4.21,7.78,7.85,7.71,7.88,7.82
"13",6.55,6.48,6.62,6.51,6.58,6.45,6.52,6.38,6.48,6.42
"14",3.22,3.28,3.15,3.25,3.18,4.55,4.62,4.48,4.58,4.52
"15",5.05,5.12,4.98,5.08,5.15,5.95,6.02,5.88,5.98,5.92
"16",7.45,7.38,7.52,7.41,7.48,7.55,7.62,7.48,7.58,7.52
"17",4.45,4.52,4.38,4.48,4.42,5.92,5.85,5.98,5.88,5.95
"18",6.22,6.28,6.15,6.25,6.18,5.45,5.52,5.38,5.48,5.42
"19",3.65,3.72,3.58,3.68,3.62,3.85,3.92,3.78,3.88,3.82
"20",5.78,5.85,5.71,5.81,5.75,7.25,7.32,7.18,7.28,7.22
