"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10"
"1",52,48,55,51,49,142,138,145,141,139
"2",38,42,40,39,41,278,285,272,281,283
"3",612,605,618,621,608,205,212,198,221,215
"4",145,152,138,141,149,485,492,478,488,495
"5",78,85,72,81,89,95,102,88,98,105
"6",218,225,211,221,215,492,485,498,488,495
"7",345,338,352,341,349,612,605,618,608,615
"8",421,435,418,428,425,415,422,412,418,425
"9",178,185,171,188,181,855,862,848,865,858
"10",388,395,381,392,385,245,252,238,248,242
"11",592,585,598,588,595,205,212,198,208,215
"12",112,118,105,115,121,778,785,771,788,782
"13",455,448,462,451,458,445,452,438,448,442
"14",322,328,315,325,318,555,562,548,558,552
"15",505,512,498,508,515,595,602,588,598,592
"16",745,738,752,741,748,755,762,748,758,752
"17",245,252,238,248,242,592,585,598,588,595
"18",622,628,615,625,618,545,552,538,548,542
"19",365,372,358,368,362,385,392,378,388,382
"20",278,285,271,281,275,725,732,718,728,722
